TimeElapsed(s),GazeX,GazeY
0.3721679,52.31689,405.8636
0.3806604,52.31689,405.8636
0.3864417,177.5386,480.7041
0.3934426,177.5386,480.7041
0.3998069,177.5386,480.7041
0.4066511,177.5386,480.7041
0.4127402,177.5386,480.7041
0.4186778,308.0237,565.9672
0.4475004,316.0712,575.2078
0.4933655,318.6646,580.7712
0.5181751,314.2896,579.6113
0.5490878,323.0681,583.9464
0.5812741,337.4062,598.8093
0.6170751,331.7448,588.0966
0.6493252,323.6364,567.5552
0.683114,336.7225,571.9247
0.7167942,555.5356,694.3502
0.7495309,562.2801,728.0929
0.7833169,556.3381,726.4897
0.816805,549.6081,734.7264
0.8514785,539.8032,735.4018
0.8836187,530.6072,750.106
0.9163629,523.4199,760.431
0.9507414,513.0787,763.6667
0.9845482,503.7669,766.7044
1.013497,485.369,769.2856
1.047905,416.6168,845.2053
1.080512,410.1716,850.7628
1.115236,385.9409,849.3859
1.150052,379.5359,856.5127
1.182216,378.8139,866.0464
1.215587,366.4259,864.6714
1.257833,359.0638,873.7954
1.283501,349.9745,870.0643
1.318796,346.6334,865.346
1.351362,328.9653,864.4073
1.38066,332.5202,862.11
1.417511,314.4189,864.5623
1.447418,291.3335,870.1453
1.48183,292.7338,864.1788
1.513656,282.7109,853.4037
1.550277,277.1305,857.2972
1.581036,294.6177,860.8079
1.619458,295.6347,849.1358
1.647022,288.4989,843.13
1.683991,307.4759,869.8716
1.72059,310.1163,876.7552
1.749896,590.3111,724.2066
1.781239,897.7729,552.0419
1.813915,906.7205,505.5224
1.847236,893.3891,502.4396
1.881773,889.8836,512.3511
1.91651,873.4031,484.9035
1.948526,866.2646,464.6064
1.983597,794.1204,316.3337
2.025032,828.4677,184.3673
2.047819,1325.502,337.8371
2.084207,1325.502,337.8371
2.115194,1325.502,337.8371
2.148879,796.2284,507.4182
2.183055,707.6268,508.243
2.216075,631.0905,516.8805
2.249939,579.3586,264.4085
2.282591,580.8117,294.3902
2.316828,548.8043,411.666
2.350088,548.7416,412.1708
2.380824,555.4766,441.7675
2.414523,572.4382,494.0511
2.447715,558.9954,532.2977
2.483931,539.7609,544.119
2.517907,559.8986,569.8113
2.548807,568.4921,567.372
2.582778,863.99,520.4235
2.617367,1170.778,496.2409
2.647002,1170.778,496.2409
2.680074,1170.778,496.2409
2.718559,1170.778,496.2409
2.750431,1571.313,323.9127
2.785354,1308.953,335.0389
2.813479,1177.958,316.5896
2.848643,1196.501,285.2404
2.881772,1198.042,264.049
2.918258,1190.23,257.312
2.951801,1143.187,264.685
2.981215,1235.119,264.951
3.017562,1556.638,274.0802
3.050656,1556.638,274.0802
3.0896,1556.638,274.0802
3.113871,1253.261,117.5363
3.150492,1179.188,117.6457
3.182379,1102.774,128.2949
3.215305,1040.5,140.7304
3.251281,971.2971,149.9045
3.280543,965.8602,140.4858
3.313495,1028.616,136.7688
3.352428,1203.31,176.7349
3.380194,1192.562,252.7512
3.41455,1202.243,291.1976
3.447239,879.6865,246.4958
3.480016,366.9109,178.5556
3.513986,159.1361,195.7783
3.550997,143.2425,223.9495
3.584152,99.3873,264.2811
3.61746,100.9637,298.9181
3.649976,91.08852,313.2722
3.680171,71.54842,326.8
3.714882,60.99176,385.2766
3.74912,58.61968,443.6662
3.78006,93.89172,476.9849
3.815257,356.3306,488.3083
3.857557,1522.587,600.8853
3.883777,1522.587,600.8853
3.913875,1600.012,616.4341
3.951215,1749.151,697.0614
3.983916,1873.996,717.6063
4.01617,1927.333,757.8629
4.047167,1970.428,793.6057
4.083815,2007.725,829.5214
4.115815,2006.229,854.8733
4.148313,1894.174,842.3152
4.182574,1686.651,790.4699
4.217508,1628.735,697.0429
4.252216,1746.105,670.9628
4.28056,1527.143,704.1579
4.316511,1015.882,740.4413
4.348342,654.393,700.3744
4.382303,647.8696,645.2421
4.415586,646.476,607.5358
4.448245,652.032,559.4519
4.48229,642.4713,515.5599
4.517623,622.2341,512.363
4.550682,504.0198,359.0515
4.583413,359.9276,232.5387
4.619234,416.1212,123.5891
4.649429,351.2173,82.51932
4.685353,240.7725,215.8158
4.717795,149.4688,286.6259
4.750696,153.0067,247.4613
4.781101,264.7145,276.9025
4.815294,235.1984,249.4267
4.849163,239.2617,169.4603
4.884943,246.219,168.4203
4.92485,220.6842,193.4449
4.946744,216.7586,195.1434
4.981017,146.823,198.9749
5.013805,137.3985,195.6912
5.04681,228.4308,189.8413
5.081138,239.2923,184.7897
5.115172,208.5311,178.3286
5.146764,187.8914,175.4153
5.185424,169.5591,186.7999
5.224516,170.5654,125.3231
5.248422,156.5101,139.8148
5.284364,147.5753,165.7439
5.316926,155.9771,154.9624
5.351353,195.2065,165.7961
5.38096,159.3563,184.4984
5.415646,151.2718,205.7639
5.451966,166.0669,227.1761
5.483805,173.3939,242.5724
5.516549,183.6691,252.6133
5.548399,180.0539,269.9869
5.582956,174.3274,315.6625
5.615638,170.1959,323.9631
5.647461,299.3004,318.806
5.694283,517.2208,392.6105
5.715935,596.2551,469.1128
5.747293,591.1996,501.6331
5.784863,607.2009,531.0057
5.81566,602.2968,523.4822
5.848778,604.5016,492.8942
5.88026,615.6387,474.5455
5.913768,610.5463,479.3019
5.95031,614.0427,475.1277
5.983319,500.5879,441.5095
6.016118,377.3181,441.1272
6.050232,367.4134,460.1128
6.085153,337.3805,437.9467
6.115959,337.5556,433.3324
6.150492,354.3242,433.3962
6.18237,303.2018,454.6157
6.21977,327.678,443.3811
6.251156,328.8978,449.7664
6.282483,315.2423,492.4823
6.31471,315.1519,491.887
6.349983,202.2944,554.8594
6.380618,63.9847,667.9778
6.416574,40.06257,728.8116
6.452693,42.15927,723.0765
6.483553,52.47118,705.4583
6.520292,526.225,826.5602
6.548621,806.8149,849.7669
6.582243,1030.823,860.98
6.614707,1095.677,884.4999
6.651057,1109.954,890.0349
6.68084,1121.252,907.2853
6.718009,1119.031,911.2274
6.757715,1133.824,919.8479
6.781841,1133.824,919.8479
6.817914,1142.273,942.0547
6.849743,1131.1,933.4415
6.882827,1351.374,909.0457
6.913815,1605.092,868.1533
6.951261,1610.811,859.2917
6.982834,1593.207,845.1657
7.014243,1592.32,835.8246
7.051144,1602.922,856.4754
7.082983,1598.634,851.9098
7.11618,1578.647,839.4951
7.149496,1775.919,857.8455
7.181024,1888.117,870.0773
7.214388,1882.502,863.1607
7.247722,1885.245,850.0478
7.285676,1881.903,837.7244
7.319781,1881.981,830.9445
7.347448,1861.598,819.7557
7.384108,1852.649,812.3557
7.415189,1865.89,811.6022
7.448991,1868.376,827.9603
7.481177,1906.039,844.711
7.521156,1921.182,857.5974
7.549371,1883.537,832.272
7.5849,1881.877,736.2676
7.61606,1898.573,696.1392
7.648228,1889.584,688.3896
7.682141,1875.77,665.0007
7.716173,1852.613,655.5628
7.751323,1586.555,615.6749
7.784598,1086.134,478.4692
7.81481,1085.366,482.0014
7.848701,1085.787,479.6573
7.884559,1102.276,505.1033
7.91734,1125.82,543.4312
7.950903,1105.209,519.5878
7.982518,1094.899,505.4918
8.015812,1115.25,518.6794
8.051286,1123.971,516.5407
8.086205,1112.882,497.8506
8.119091,1501.309,539.7068
8.147863,1501.309,539.7068
8.181293,1683.186,582.8618
8.214126,1683.351,590.0009
8.250253,1690.786,609.5162
8.287914,1706.409,615.3383
8.313639,1660.763,541.645
8.349076,1593.174,225.7693
8.382882,1385.475,-125.1386
8.416736,1157.27,-210.1559
8.44847,1113.206,-185.7297
8.481982,1105.572,-183.3342
8.51379,1084.034,-152.5984
8.550747,919.6424,143.4234
8.589263,698.1553,443.2832
8.614559,637.5473,476.8574
8.650886,635.3656,492.0535
8.683249,623.1925,501.2784
8.714743,593.7258,512.629
8.747135,423.0884,624.7244
8.782867,257.4526,746.9388
8.814205,257.0536,754.6651
8.84958,256.0278,761.5623
8.888988,249.257,758.1063
8.914149,243.9404,751.1282
8.951434,234.3106,775.7292
8.983246,224.7875,786.6949
9.016213,217.681,771.5486
9.049522,218.5469,777.1931
9.083956,205.5754,768.8508
9.117518,196.5996,764.8898
9.150205,201.533,771.9313
9.192941,199.0888,773.733
9.216896,181.7815,774.4694
9.24957,175.999,784.2717
9.283562,176.3582,786.2991
9.316286,162.6445,788.0869
9.348306,146.1473,792.4553
9.383595,137.8085,796.4128
9.418376,123.4644,796.2286
9.448138,125.8857,791.7152
9.482323,123.5035,792.1942
9.514468,111.3387,797.7175
9.550609,108.5297,801.3833
9.584649,114.741,793.3915
9.618012,113.9564,800.9743
9.647114,111.9938,805.1845
9.6802,110.8901,800.3264
9.718616,116.1794,805.2597
9.74975,120.181,798.7009
9.782,119.4055,787.4702
9.816705,119.6912,791.6449
9.846983,119.3491,787.7302
9.884128,120.3353,789.2338
9.916874,118.5035,788.79
9.952465,119.424,787.055
9.983851,456.9596,686.3465
10.01419,816.0558,576.5289
10.05074,834.626,580.8676
10.08322,689.395,602.9194
10.11787,543.1844,627.4705
10.15168,532.0797,626.3971
10.18183,512.3544,621.7065
10.21428,495.5952,624.7355
10.25955,483.2741,630.458
10.28087,469.657,640.3198
10.31746,444.4589,657.6261
10.35038,422.3353,673.978
10.38309,265.3437,803.2196
10.41879,193.5884,841.715
10.4483,181.9731,850.4415
10.48005,160.8625,857.369
10.51401,153.3573,852.8553
10.55045,160.2296,845.9025
10.58036,161.5938,842.6103
10.61754,148.2408,845.8739
10.64852,133.0419,857.6684
10.68238,126.0323,858.8882
10.71633,102.0681,871.7054
10.7471,112.3941,865.0043
10.7845,102.7234,866.5758
10.81445,98.5804,864.4669
10.85067,98.9836,867.6411
10.88316,92.8534,867.4988
10.91829,91.73167,866.5505
10.95094,91.30553,863.6116
10.9844,187.9321,821.8337
11.0187,660.6732,750.5594
11.0481,714.2728,748.915
11.08028,718.241,759.9532
11.11786,714.5422,752.1066
11.15224,715.9791,739.0698
11.18329,719.0349,732.1769
11.21758,720.0728,739.6699
11.2504,723.8217,741.5114
11.28232,721.9045,737.4721
11.32279,708.7867,726.4587
11.35104,722.2106,752.1851
11.38346,725.4346,789.5909
11.416,682.6809,834.2393
11.45006,644.2214,850.1495
11.48424,639.7791,831.4041
11.5169,646.1104,829.9246
11.55179,654.4315,824.57
11.58497,669.1224,836.8243
11.62836,675.2893,855.1581
11.64716,675.2893,855.1581
11.68363,696.8233,865.8151
11.71637,704.5208,848.8665
11.7517,716.9359,839.7252
11.78093,763.697,853.3848
11.8144,897.7724,825.7927
11.85283,992.0323,746.1375
11.88038,995.8224,716.9538
11.91949,1000.141,730.9896
11.94712,999.2738,736.8651
11.98257,1002.027,729.5251
12.01417,1008.557,717.6758
12.0488,1012.274,679.4255
12.09366,1020.82,668.7803
12.11767,1021.829,665.254
12.14867,1022.921,660.5648
12.18366,1028.408,663.9608
12.21583,1036.357,666.6348
12.2467,1044.413,658.5777
12.28428,1196.276,595.5786
12.31853,1344.546,538.8925
12.35255,1353.721,534.9568
12.38507,1376.224,536.918
12.41928,1395.459,540.652
12.44959,1411.534,530.3201
12.48613,1418.734,529.5325
12.51896,1424.634,528.2593
12.54862,1432.102,518.0071
12.58046,1443.172,514.7488
12.61675,1455.303,513.9554
12.64977,1483.177,493.1925
12.68526,1630.038,442.6169
12.71403,1755.07,395.9011
12.7514,1753.375,396.193
12.78317,1753.743,390.3729
12.81683,1781.306,315.0737
12.85349,1825.894,105.9911
12.88096,1810.177,-26.30153
12.91681,1778.293,-20.37457
12.94995,1802.288,-33.09713
12.98284,1865.71,-10.43435
13.01444,1851.645,-18.66869
13.05177,1786.553,-9.869671
13.08076,1778.262,-1.360202
13.11676,1723.773,-16.51567
13.14888,1795.147,-11.65589
13.18401,1880.417,18.64719
13.21486,1856.642,48.09025
13.25037,1850.182,53.74992
13.28369,1849.229,77.8638
13.31799,1861.128,61.18488
13.34837,1887.19,45.24657
13.38042,1884.09,51.50833
13.41686,1880.015,73.08777
13.45038,1857.294,74.64663
13.48161,1823.318,72.57336
13.51547,1826.161,115.5635
13.54675,1543.279,297.7058
13.58183,1238.74,485.9359
13.62495,1228.992,528.4322
13.64827,1236.246,526.8719
13.68335,1238.505,516.8233
13.71489,1252.976,509.0489
13.74702,1263.879,518.1024
13.78242,1260.486,527.4448
13.81647,1260.235,520.1797
13.85031,1270.717,519.2032
13.88278,1269.791,515.8256
13.91487,1399.232,467.075
13.94728,1595.007,392.2677
13.98279,1584.78,67.17305
14.01505,1687.932,-240.6635
14.0481,2251.311,114.5061
14.08428,2023.318,143.3709
14.11718,1880.33,303.3158
14.14936,1717.865,277.3165
14.18049,1818.069,158.4287
14.2134,2067.823,201.1225
14.248,1943.372,171.9672
14.28164,1330.025,-185.0697
14.3141,1833.878,226.3174
14.35219,1858.605,289.6703
14.39216,1901.007,238.9514
14.41812,1541.581,-311.1879
14.44965,1594.063,-258.6791
14.4822,1462.674,-56.08448
14.51491,1353.853,-342.5956
14.54797,1412.655,-523.6464
14.58076,2076.491,369.8411
14.61345,1824.937,232.7852
14.64836,1892.345,328.4234
14.68382,1904.618,355.3164
14.71593,1913.816,340.3088
14.74977,1878.684,336.6448
14.78493,1860.25,351.0232
14.81742,1892.767,334.0985
14.85068,1897.46,319.8963
14.88154,1899.307,323.5816
14.91751,1909.072,327.7963
14.94998,1917.23,329.2239
14.98219,1931.713,324.8378
15.01826,1928.202,325.3074
15.05115,1921.649,324.2012
15.08369,1890.566,347.3999
15.11647,1876.781,360.8543
15.15324,1897.338,353.4326
15.18015,1895.055,335.2308
15.21866,1909.891,349.2495
15.24917,1890.494,394.4619
15.28291,1865.767,423.7675
15.31577,1875.568,424.0092
15.3512,1885.736,426.2455
15.38281,1899.973,419.9073
15.41493,1903.437,420.4369
15.45458,1903.355,422.1765
15.48365,1895.906,436.4644
15.51449,1888.761,429.1382
