TimeElapsed(s),GazeX,GazeY,PlayerScore
0.4166941,-846.8666,-328.7722,0
0.4474957,-843.5692,-334.888,0
0.4839115,-845.165,-339.3351,0
0.5151224,-760.5444,-331.2094,0
0.5490624,-614.1659,-300.9571,0
0.5845333,-550.8505,-282.3869,0
0.6145397,-552.3834,-285.509,0
0.6496404,-552.1069,-288.0121,0
0.6843735,-557.8582,-281.7536,0
0.7167552,-628.1196,-289.8646,0
0.7502935,-800.739,-316.8534,0
0.7812082,-910.7613,-326.1616,0
0.8175526,-908.1387,-322.9628,0
0.8466945,-894.7647,-328.25,0
0.8816544,-885.6578,-332.6783,0
0.9182257,-885.3615,-335.0876,0
0.9500934,-887.2427,-333.1864,0
0.9823613,-890.0585,-332.3042,0
1.014385,-890.0559,-330.0152,0
1.051994,-888.37,-334.9086,0
1.084944,-881.4954,-342.7396,0
1.116603,-878.9531,-341.0448,0
1.148949,-878.5352,-339.2977,0
1.184391,-795.8643,-327.2814,0
1.21602,-718.7596,-310.1699,0
1.246981,-736.1625,-307.7384,0
1.281495,-742.5154,-271.6715,0
1.316136,-719.6436,-285.4997,0
1.34922,-855.3148,-300.369,0
1.380396,-991.3251,-308.3608,0
1.413345,-980.0988,-314.5305,0
1.451315,-983.2187,-316.2408,0
1.483405,-977.2567,-308.6357,0
1.517702,-969.2527,-313.6959,0
1.54731,-983.494,-312.2807,0
1.583138,-981.6424,-299.1027,0
1.616408,-985.446,-291.5396,0
1.64741,-982.0765,-305.396,0
1.681912,-972.5469,-312.1121,0
1.71772,-973.3196,-314.9178,0
1.750198,-957.4835,-316.7624,0
1.783441,-864.1111,-307.9073,0
1.814252,-787.9789,-304.4846,0
1.846931,-788.2105,-305.8084,0
1.880562,-793.5941,-300.3181,0
1.917129,-785.4285,-304.1558,0
1.948318,-782.7305,-293.3495,0
1.98052,-783.8115,-286.8872,0
2.013765,-783.8319,-285.6425,0
2.05108,-784.1981,-283.1552,0
2.082203,-788.8818,-287.4174,0
2.117083,-707.4683,-287.2736,0
2.15008,-594.8777,-282.0263,0
2.184458,-560.5535,-286.1114,0
2.216679,-559.6396,-283.2571,0
2.247449,-554.8942,-270.9047,0
2.284643,-551.9574,-278.1626,0
2.318195,-549.9156,-276.891,0
2.349308,-550.7067,-270.1974,0
2.381661,-496.1631,-260.8715,0
2.414376,-399.3853,-244.3568,0
2.448711,-359.4778,-231.3313,0
2.481828,-360.4872,-229.2516,0
2.51776,-359.4959,-232.0951,0
2.549647,-366.0538,-223.9881,0
2.583931,-364.9786,-219.5124,0
2.618261,-360.0635,-220.3974,0
2.646774,-300.4975,-223.8932,0
2.683814,-239.8889,-232.5186,0
2.717433,-229.0341,-230.069,0
2.751349,-226.1267,-228.4777,0
2.78426,-227.2014,-235.1355,0
2.815039,-219.9067,-235.5396,0
2.851166,-211.1375,-215.5427,0
2.88161,-216.8474,-233.5367,0
2.917692,-151.0797,-237.6923,0
2.949065,-43.43962,-225.5522,0
2.981294,-12.07518,-224.4618,0
3.016952,-15.65848,-222.3923,0
3.046743,-18.06617,-226.2352,0
3.080249,-21.38822,-233.8101,0
3.114507,-27.80503,-233.2762,0
3.149143,-27.94248,-225.4589,0
3.182687,-23.16992,-220.2175,0
3.214386,15.45704,-223.1697,0
3.247185,15.45704,-223.1697,0
3.285408,127.7872,-213.8728,0
3.318331,133.4319,-221.2432,0
3.351437,133.6209,-227.5401,0
3.383688,130.0258,-228.6724,0
3.41847,125.244,-227.4117,0
3.448356,121.704,-222.7933,0
3.481832,122.5718,-220.0196,0
3.517866,12.96018,-238.2201,0
3.549305,17.28542,-231.9308,0
3.583142,15.90612,-245.146,0
3.615869,18.27066,-247.2633,0
